--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.135084
[PI-INFO] Total time,0.135088
[PI-INFO] Total time,0.135092
[PI-INFO] Total time,0.135096
[PI-INFO] Total time,0.135100
[PI-INFO] Total time,0.135104
[PI-INFO] Total time,0.135109
[PI-INFO] Total time,0.135114
[PI-INFO] Total time,0.135118
[PI-INFO] Total time,0.135122
[PI-INFO] Total time,0.135126
[PI-INFO] Total time,0.135130
[PI-INFO] Total time,0.135134
[PI-INFO] Total time,0.135138
[PI-INFO] Total time,0.135143
[PI-INFO] Total time,0.135148
[PI-INFO] Total time,0.135153
[PI-INFO] Total time,0.135157
[PI-INFO] Total time,0.135161
[PI-INFO] Total time,0.135164
[PI-INFO] Total time,0.135168
[PI-INFO] Total time,0.135171
[PI-INFO] Total time,0.135174
[PI-INFO] Total time,0.135179
[PI-INFO] Total time,0.135185
[PI-INFO] Total time,0.135189
[PI-INFO] Total time,0.135193
[PI-INFO] Total time,0.135197
[PI-INFO] Total time,0.135201
[PI-INFO] Total time,0.135205
[PI-INFO] Total time,0.135209
[PI-INFO] Total time,0.135214
[PI-INFO] Total time,0.135219
[PI-INFO] Total time,0.135224
[PI-INFO] Total time,0.135228
[PI-INFO] Total time,0.135232
[PI-INFO] Total time,0.135236
[PI-INFO] Total time,0.135240
[PI-INFO] Total time,0.135244
[PI-INFO] Total time,0.135249
[PI-INFO] Total time,0.135279
[PI-INFO] Total time,0.135284
[PI-INFO] Total time,0.135290
[PI-INFO] Total time,0.135294
[PI-INFO] Total time,0.135299
[PI-INFO] Total time,0.135300
[PI-INFO] Total time,0.135304
[PI-INFO] Total time,0.135308
[PI-INFO] Total time,0.135312
[PI-INFO] Total time,0.135316
[PI-INFO] Total time,0.135321
[PI-INFO] Total time,0.135325
[PI-INFO] Total time,0.135330
[PI-INFO] Total time,0.135333
[PI-INFO] Total time,0.135337
[PI-INFO] Total time,0.135341
[PI-INFO] Total time,0.135345
[PI-INFO] Total time,0.135350
[PI-INFO] Total time,0.135356
[PI-INFO] Total time,0.135360
[PI-INFO] Total time,0.135364
[PI-INFO] Total time,0.135368
[PI-INFO] Total time,0.135372
[PI-INFO] Total time,0.135376
[PI-INFO] Total time,0.135380
[PI-INFO] Total time,0.135385
[PI-INFO] Total time,0.135391
[PI-INFO] Total time,0.135395
[PI-INFO] Total time,0.135399
[PI-INFO] Total time,0.135403
[PI-INFO] Total time,0.135407
[PI-INFO] Total time,0.135411
[PI-INFO] Total time,0.135413
[PI-INFO] Total time,0.135417
[PI-INFO] Total time,0.135422
[PI-INFO] Total time,0.135427
[PI-INFO] Total time,0.135431
[PI-INFO] Total time,0.135436
[PI-INFO] Total time,0.135439
[PI-INFO] Total time,0.135443
[PI-INFO] Total time,0.135447
[PI-INFO] Total time,0.135450
[PI-INFO] Total time,0.135453
[PI-INFO] Total time,0.135458
[PI-INFO] Total time,0.135463
[PI-INFO] Total time,0.135467
[PI-INFO] Total time,0.135471
[PI-INFO] Total time,0.135476
[PI-INFO] Total time,0.135480
[PI-INFO] Total time,0.135483
[PI-INFO] Total time,0.135487
[PI-INFO] Total time,0.135492
[PI-INFO] Total time,0.135498
[PI-INFO] Total time,0.135502
[PI-INFO] Total time,0.135506
[PI-INFO] Total time,0.135510
[PI-INFO] Total time,0.135514
[PI-INFO] Total time,0.135518
[PI-INFO] Total time,0.135522
[PI-INFO] Total time,0.135526
[PI-INFO] Total time,0.135531
[PI-INFO] Total time,0.135535
[PI-INFO] Total time,0.135539
[PI-INFO] Total time,0.135543
[PI-INFO] Total time,0.135547
[PI-INFO] Total time,0.135550
[PI-INFO] Total time,0.135553
[PI-INFO] Total time,0.135557
[PI-INFO] Total time,0.135561
[PI-INFO] Total time,0.135567
[PI-INFO] Total time,0.135571
[PI-INFO] Total time,0.135575
[PI-INFO] Total time,0.135579
[PI-INFO] Total time,0.135583
[PI-INFO] Total time,0.135586
[PI-INFO] Total time,0.135589
[PI-INFO] Total time,0.135593
[PI-INFO] Total time,0.135597
[PI-INFO] Total time,0.135603
[PI-INFO] Total time,0.135607
[PI-INFO] Total time,0.135611
[PI-INFO] Total time,0.135615
[PI-INFO] Total time,0.135619
[PI-INFO] Total time,0.135623
