--------------------------------------------------------------------------
[[19547,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.137433
[PI-INFO] Total time,0.137455
[PI-INFO] Total time,0.137480
[PI-INFO] Total time,0.137503
[PI-INFO] Total time,0.137525
[PI-INFO] Total time,0.137548
[PI-INFO] Total time,0.137570
[PI-INFO] Total time,0.137592
[PI-INFO] Total time,0.137615
[PI-INFO] Total time,0.137638
[PI-INFO] Total time,0.137662
[PI-INFO] Total time,0.137685
[PI-INFO] Total time,0.137708
[PI-INFO] Total time,0.137730
[PI-INFO] Total time,0.137752
[PI-INFO] Total time,0.137775
[PI-INFO] Total time,0.137797
[PI-INFO] Total time,0.137820
[PI-INFO] Total time,0.137845
[PI-INFO] Total time,0.137867
[PI-INFO] Total time,0.137890
[PI-INFO] Total time,0.137912
[PI-INFO] Total time,0.137935
[PI-INFO] Total time,0.137957
[PI-INFO] Total time,0.137980
[PI-INFO] Total time,0.138002
[PI-INFO] Total time,0.138027
[PI-INFO] Total time,0.138049
[PI-INFO] Total time,0.138072
[PI-INFO] Total time,0.138094
[PI-INFO] Total time,0.138117
[PI-INFO] Total time,0.138140
[PI-INFO] Total time,0.138163
[PI-INFO] Total time,0.138185
[PI-INFO] Total time,0.138210
[PI-INFO] Total time,0.138232
[PI-INFO] Total time,0.138255
[PI-INFO] Total time,0.138277
[PI-INFO] Total time,0.138300
[PI-INFO] Total time,0.138322
[PI-INFO] Total time,0.138345
[PI-INFO] Total time,0.138367
[PI-INFO] Total time,0.138392
[PI-INFO] Total time,0.138414
[PI-INFO] Total time,0.138437
[PI-INFO] Total time,0.138459
[PI-INFO] Total time,0.138482
[PI-INFO] Total time,0.138504
[PI-INFO] Total time,0.138526
[PI-INFO] Total time,0.138549
[PI-INFO] Total time,0.138578
[PI-INFO] Total time,0.138600
[PI-INFO] Total time,0.138623
[PI-INFO] Total time,0.138645
[PI-INFO] Total time,0.136752
[PI-INFO] Total time,0.138680
[PI-INFO] Total time,0.138684
[PI-INFO] Total time,0.138688
[PI-INFO] Total time,0.138693
[PI-INFO] Total time,0.138697
[PI-INFO] Total time,0.138706
[PI-INFO] Total time,0.138710
[PI-INFO] Total time,0.138715
[PI-INFO] Total time,0.138720
[PI-INFO] Total time,0.138724
[PI-INFO] Total time,0.138730
[PI-INFO] Total time,0.138734
[PI-INFO] Total time,0.138738
[PI-INFO] Total time,0.138743
[PI-INFO] Total time,0.138747
[PI-INFO] Total time,0.138751
[PI-INFO] Total time,0.138755
[PI-INFO] Total time,0.138759
[PI-INFO] Total time,0.138763
[PI-INFO] Total time,0.138767
[PI-INFO] Total time,0.138771
[PI-INFO] Total time,0.138776
[PI-INFO] Total time,0.138780
[PI-INFO] Total time,0.138784
[PI-INFO] Total time,0.138789
[PI-INFO] Total time,0.138793
[PI-INFO] Total time,0.138797
[PI-INFO] Total time,0.138801
[PI-INFO] Total time,0.138806
[PI-INFO] Total time,0.138810
[PI-INFO] Total time,0.138815
[PI-INFO] Total time,0.138819
[PI-INFO] Total time,0.138826
[PI-INFO] Total time,0.138830
[PI-INFO] Total time,0.138834
[PI-INFO] Total time,0.138839
[PI-INFO] Total time,0.138843
[PI-INFO] Total time,0.138847
[PI-INFO] Total time,0.138852
[PI-INFO] Total time,0.138857
[PI-INFO] Total time,0.138861
[PI-INFO] Total time,0.138866
[PI-INFO] Total time,0.138873
[PI-INFO] Total time,0.138877
[PI-INFO] Total time,0.138882
[PI-INFO] Total time,0.138886
[PI-INFO] Total time,0.138891
[PI-INFO] Total time,0.138895
[PI-INFO] Total time,0.138899
[PI-INFO] Total time,0.138904
[PI-INFO] Total time,0.138908
[PI-INFO] Total time,0.138912
[PI-INFO] Total time,0.138916
[PI-INFO] Total time,0.138921
[PI-INFO] Total time,0.138925
[PI-INFO] Total time,0.138930
[PI-INFO] Total time,0.138936
[PI-INFO] Total time,0.138941
[PI-INFO] Total time,0.138945
[PI-INFO] Total time,0.138949
[PI-INFO] Total time,0.138956
[PI-INFO] Total time,0.138960
[PI-INFO] Total time,0.138964
[PI-INFO] Total time,0.138969
[PI-INFO] Total time,0.138973
[PI-INFO] Total time,0.138977
[PI-INFO] Total time,0.138982
[PI-INFO] Total time,0.138986
[PI-INFO] Total time,0.138990
[PI-INFO] Total time,0.138997
[PI-INFO] Total time,0.139001
[PI-INFO] Total time,0.139005
[PI-INFO] Total time,0.139010
[PI-INFO] Total time,0.139016
[PI-INFO] Total time,0.139020
[PI-INFO] Total time,0.139025
[PI-INFO] Total time,0.139032
[PI-INFO] Total time,0.139036
[PI-INFO] Total time,0.139041
[PI-INFO] Total time,0.139046
[PI-INFO] Total time,0.139051
[PI-INFO] Total time,0.139055
[PI-INFO] Total time,0.139059
[PI-INFO] Total time,0.139079
[PI-INFO] Total time,0.139086
[PI-INFO] Total time,0.139114
[PI-INFO] Total time,0.139122
[PI-INFO] Total time,0.139127
[PI-INFO] Total time,0.139131
[PI-INFO] Total time,0.139135
[PI-INFO] Total time,0.139139
[PI-INFO] Total time,0.139143
[PI-INFO] Total time,0.139148
[PI-INFO] Total time,0.139152
[PI-INFO] Total time,0.139157
[PI-INFO] Total time,0.139161
[PI-INFO] Total time,0.139166
[PI-INFO] Total time,0.139171
[PI-INFO] Total time,0.139176
[PI-INFO] Total time,0.139179
[PI-INFO] Total time,0.139185
[PI-INFO] Total time,0.139194
[PI-INFO] Total time,0.139198
[PI-INFO] Total time,0.139202
[PI-INFO] Total time,0.139207
[PI-INFO] Total time,0.139211
[PI-INFO] Total time,0.139215
[PI-INFO] Total time,0.139220
[PI-INFO] Total time,0.139224
[PI-INFO] Total time,0.139228
[PI-INFO] Total time,0.139233
[PI-INFO] Total time,0.139237
[PI-INFO] Total time,0.139241
[PI-INFO] Total time,0.139246
[PI-INFO] Total time,0.139250
[PI-INFO] Total time,0.139258
[PI-INFO] Total time,0.139262
[PI-INFO] Total time,0.139270
[PI-INFO] Total time,0.139275
[PI-INFO] Total time,0.139283
[PI-INFO] Total time,0.139288
[PI-INFO] Total time,0.139296
[PI-INFO] Total time,0.139300
[PI-INFO] Total time,0.139309
[PI-INFO] Total time,0.139315
[PI-INFO] Total time,0.139319
[PI-INFO] Total time,0.139324
[PI-INFO] Total time,0.139328
[PI-INFO] Total time,0.139332
[PI-INFO] Total time,0.139337
[PI-INFO] Total time,0.139341
[PI-INFO] Total time,0.139346
[PI-INFO] Total time,0.139350
[PI-INFO] Total time,0.139354
[PI-INFO] Total time,0.139359
[PI-INFO] Total time,0.139363
[PI-INFO] Total time,0.139367
[PI-INFO] Total time,0.139371
[PI-INFO] Total time,0.139375
[PI-INFO] Total time,0.139380
[PI-INFO] Total time,0.139384
[PI-INFO] Total time,0.139393
[PI-INFO] Total time,0.139397
[PI-INFO] Total time,0.139405
[PI-INFO] Total time,0.139410
[PI-INFO] Total time,0.139417
[PI-INFO] Total time,0.139422
[PI-INFO] Total time,0.139430
[PI-INFO] Total time,0.139434
[PI-INFO] Total time,0.139438
[PI-INFO] Total time,0.139443
[PI-INFO] Total time,0.139447
[PI-INFO] Total time,0.139451
[PI-INFO] Total time,0.139456
[PI-INFO] Total time,0.139464
[PI-INFO] Total time,0.139469
[PI-INFO] Total time,0.139473
[PI-INFO] Total time,0.139477
[PI-INFO] Total time,0.139481
[PI-INFO] Total time,0.139486
[PI-INFO] Total time,0.139490
[PI-INFO] Total time,0.139498
[PI-INFO] Total time,0.139503
[PI-INFO] Total time,0.139507
[PI-INFO] Total time,0.139511
[PI-INFO] Total time,0.139516
[PI-INFO] Total time,0.139520
[PI-INFO] Total time,0.139092
[PI-INFO] Total time,0.139553
[PI-INFO] Total time,0.139575
[PI-INFO] Total time,0.139577
[PI-INFO] Total time,0.139602
[PI-INFO] Total time,0.139626
[PI-INFO] Total time,0.139651
[PI-INFO] Total time,0.139674
[PI-INFO] Total time,0.139697
[PI-INFO] Total time,0.139719
[PI-INFO] Total time,0.139742
[PI-INFO] Total time,0.139765
[PI-INFO] Total time,0.139787
[PI-INFO] Total time,0.139810
[PI-INFO] Total time,0.139819
[PI-INFO] Total time,0.139823
[PI-INFO] Total time,0.139828
[PI-INFO] Total time,0.139832
[PI-INFO] Total time,0.139836
[PI-INFO] Total time,0.139840
[PI-INFO] Total time,0.139845
[PI-INFO] Total time,0.139849
[PI-INFO] Total time,0.139853
[PI-INFO] Total time,0.139863
[PI-INFO] Total time,0.139867
[PI-INFO] Total time,0.139871
[PI-INFO] Total time,0.139876
[PI-INFO] Total time,0.139880
[PI-INFO] Total time,0.139884
[PI-INFO] Total time,0.139889
[PI-INFO] Total time,0.139893
[PI-INFO] Total time,0.139897
[PI-INFO] Total time,0.139905
[PI-INFO] Total time,0.139910
[PI-INFO] Total time,0.139918
[PI-INFO] Total time,0.139922
[PI-INFO] Total time,0.139930
[PI-INFO] Total time,0.139934
[PI-INFO] Total time,0.139942
[PI-INFO] Total time,0.139947
[PI-INFO] Total time,0.139954
[PI-INFO] Total time,0.139959
[PI-INFO] Total time,0.139963
[PI-INFO] Total time,0.139968
[PI-INFO] Total time,0.139972
[PI-INFO] Total time,0.139976
[PI-INFO] Total time,0.139981
[PI-INFO] Total time,0.139988
[PI-INFO] Total time,0.139993
[PI-INFO] Total time,0.140002
[PI-INFO] Total time,0.140007
[PI-INFO] Total time,0.140012
[PI-INFO] Total time,0.140020
[PI-INFO] Total time,0.140025
[PI-INFO] Total time,0.140033
[PI-INFO] Total time,0.140038
[PI-INFO] Total time,0.140042
[PI-INFO] Total time,0.140046
[PI-INFO] Total time,0.140051
[PI-INFO] Total time,0.140055
[PI-INFO] Total time,0.140059
[PI-INFO] Total time,0.140067
