--------------------------------------------------------------------------
[[15255,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.137501
[PI-INFO] Total time,0.137506
[PI-INFO] Total time,0.137510
[PI-INFO] Total time,0.137518
[PI-INFO] Total time,0.137522
[PI-INFO] Total time,0.137526
[PI-INFO] Total time,0.137531
[PI-INFO] Total time,0.137539
[PI-INFO] Total time,0.137544
[PI-INFO] Total time,0.137549
[PI-INFO] Total time,0.137553
[PI-INFO] Total time,0.137558
[PI-INFO] Total time,0.137565
[PI-INFO] Total time,0.137569
[PI-INFO] Total time,0.137574
[PI-INFO] Total time,0.137578
[PI-INFO] Total time,0.137582
[PI-INFO] Total time,0.137586
[PI-INFO] Total time,0.137590
[PI-INFO] Total time,0.137593
[PI-INFO] Total time,0.137598
[PI-INFO] Total time,0.137603
[PI-INFO] Total time,0.137607
[PI-INFO] Total time,0.137611
[PI-INFO] Total time,0.137615
[PI-INFO] Total time,0.137620
[PI-INFO] Total time,0.137624
[PI-INFO] Total time,0.137628
[PI-INFO] Total time,0.137632
[PI-INFO] Total time,0.137636
[PI-INFO] Total time,0.137640
[PI-INFO] Total time,0.137645
[PI-INFO] Total time,0.137650
[PI-INFO] Total time,0.137658
[PI-INFO] Total time,0.137662
[PI-INFO] Total time,0.137562
[PI-INFO] Total time,0.137688
[PI-INFO] Total time,0.137714
[PI-INFO] Total time,0.137736
[PI-INFO] Total time,0.137759
[PI-INFO] Total time,0.137768
[PI-INFO] Total time,0.137777
[PI-INFO] Total time,0.137781
[PI-INFO] Total time,0.137785
[PI-INFO] Total time,0.137789
[PI-INFO] Total time,0.137794
[PI-INFO] Total time,0.137798
[PI-INFO] Total time,0.137802
[PI-INFO] Total time,0.137829
[PI-INFO] Total time,0.137852
[PI-INFO] Total time,0.137874
[PI-INFO] Total time,0.137896
[PI-INFO] Total time,0.137919
[PI-INFO] Total time,0.137941
[PI-INFO] Total time,0.137963
[PI-INFO] Total time,0.137986
[PI-INFO] Total time,0.138011
[PI-INFO] Total time,0.138033
[PI-INFO] Total time,0.138056
[PI-INFO] Total time,0.138078
[PI-INFO] Total time,0.138100
[PI-INFO] Total time,0.138122
[PI-INFO] Total time,0.138144
[PI-INFO] Total time,0.138167
[PI-INFO] Total time,0.138191
[PI-INFO] Total time,0.138214
[PI-INFO] Total time,0.138236
[PI-INFO] Total time,0.138259
[PI-INFO] Total time,0.138281
[PI-INFO] Total time,0.138303
[PI-INFO] Total time,0.138325
[PI-INFO] Total time,0.138348
[PI-INFO] Total time,0.138372
[PI-INFO] Total time,0.138395
[PI-INFO] Total time,0.138417
[PI-INFO] Total time,0.138441
[PI-INFO] Total time,0.138464
[PI-INFO] Total time,0.138486
[PI-INFO] Total time,0.138508
[PI-INFO] Total time,0.138530
[PI-INFO] Total time,0.138555
[PI-INFO] Total time,0.138577
[PI-INFO] Total time,0.138600
[PI-INFO] Total time,0.138622
[PI-INFO] Total time,0.138648
[PI-INFO] Total time,0.138670
[PI-INFO] Total time,0.138693
[PI-INFO] Total time,0.138715
[PI-INFO] Total time,0.138740
[PI-INFO] Total time,0.138762
[PI-INFO] Total time,0.138785
[PI-INFO] Total time,0.138807
[PI-INFO] Total time,0.138829
[PI-INFO] Total time,0.138852
[PI-INFO] Total time,0.138874
[PI-INFO] Total time,0.138896
[PI-INFO] Total time,0.138921
[PI-INFO] Total time,0.138944
[PI-INFO] Total time,0.138966
[PI-INFO] Total time,0.138989
[PI-INFO] Total time,0.139011
[PI-INFO] Total time,0.139033
[PI-INFO] Total time,0.139055
[PI-INFO] Total time,0.139078
[PI-INFO] Total time,0.139102
[PI-INFO] Total time,0.139125
[PI-INFO] Total time,0.139147
[PI-INFO] Total time,0.139169
